symbol,side_group,extra_delay_minutes,signal_utc,btc_signal_bps,gross_bps
1000PEPEUSDT,bear,1,2026-07-13 01:18:00+00:00,-26.49763643745473,-11.557770794958788
1000PEPEUSDT,bear,1,2026-07-13 14:17:00+00:00,-32.16126099163219,26.84368991910602
1000PEPEUSDT,bear,1,2026-07-13 17:37:00+00:00,-27.35732966559823,-20.52315384902581
1000PEPEUSDT,bear,1,2026-07-14 14:05:00+00:00,-26.779580918585566,-8.745539774714928
1000PEPEUSDT,bear,1,2026-07-15 13:26:00+00:00,-27.148431321784017,-94.1022370824851
1000PEPEUSDT,bear,1,2026-07-15 17:49:00+00:00,-29.34548200506981,-12.538511141362285
1000PEPEUSDT,bear,1,2026-07-20 05:13:00+00:00,-26.598701009223902,-14.417835917994726
1000PEPEUSDT,bear,1,2026-07-20 08:38:00+00:00,-27.438333768152745,-15.256883338063965
1000PEPEUSDT,bear,1,2026-07-21 17:47:00+00:00,-66.08028381320352,-25.766913889759824
1000PEPEUSDT,bear,1,2026-07-23 07:12:00+00:00,-35.713532972785345,-5.644933672028785
1000PEPEUSDT,bear,1,2026-07-27 14:21:00+00:00,-28.014515785805827,22.528581035642368
1000PEPEUSDT,bear,1,2026-07-27 14:31:00+00:00,-42.62263532599064,33.219212908037754
1000PEPEUSDT,bear,1,2026-07-27 22:41:00+00:00,-47.31903117674463,56.406685236769505
1000PEPEUSDT,bear,1,2026-07-27 22:58:00+00:00,-32.55150075807123,36.37005649717473
1000PEPEUSDT,bear,1,2026-07-29 18:32:00+00:00,-29.90644764503614,-30.67596684074081
1000PEPEUSDT,bear,1,2026-07-29 19:48:00+00:00,-30.1797810916149,5.153500699403013
1000PEPEUSDT,bear,1,2026-07-31 14:07:00+00:00,-41.60368785768753,-72.8084296794984
1000BONKUSDT,both,0,2026-07-01 01:11:00+00:00,-31.026591709881757,24.6002460024608
1000BONKUSDT,both,0,2026-07-01 03:53:00+00:00,27.072276103190518,14.34034416825991
1000BONKUSDT,both,0,2026-07-01 13:41:00+00:00,28.549237088189017,9.557945041815952
1000BONKUSDT,both,0,2026-07-01 14:11:00+00:00,33.291309288809856,28.35538752363087
1000BONKUSDT,both,0,2026-07-01 15:24:00+00:00,52.4199361177935,-27.35978112175075
1000BONKUSDT,both,0,2026-07-01 22:22:00+00:00,37.10219990420427,-25.06836827712022
1000BONKUSDT,both,0,2026-07-01 22:30:00+00:00,-31.393988674253137,55.22319374137052
1000BONKUSDT,both,0,2026-07-02 03:28:00+00:00,55.30494944236963,-41.560840452551375
1000BONKUSDT,both,0,2026-07-02 03:39:00+00:00,28.51093021941864,11.566042100394913
1000BONKUSDT,both,0,2026-07-02 09:46:00+00:00,-28.830231669640938,-20.920502092049986
1000BONKUSDT,both,0,2026-07-02 12:31:00+00:00,30.468887437944403,-40.76086956521729
1000BONKUSDT,both,0,2026-07-02 13:29:00+00:00,-29.01448387039096,-20.431328036323304
1000BONKUSDT,both,0,2026-07-02 14:02:00+00:00,28.30572700174727,-47.500565482920805
1000BONKUSDT,both,0,2026-07-02 15:37:00+00:00,-32.92390846873161,-6.931608133085021
1000BONKUSDT,both,0,2026-07-02 16:16:00+00:00,-28.30381295147788,11.584800741428758
1000BONKUSDT,both,0,2026-07-02 16:28:00+00:00,-41.67314919893528,-11.63331782224386
1000BONKUSDT,both,0,2026-07-02 19:56:00+00:00,-27.759364270956155,4.626416840155523
1000BONKUSDT,both,0,2026-07-02 20:58:00+00:00,26.867003431991776,-30.06475485661464
